,,,,,,,,,,,,,,,,
Players,RK,Team,BYE,POS,%Play,Comp%,Comp,ATT,YPA,Yards,TDs,Ints,Att,Rush,TDs,
Players,RK,Team,BYE,POS,% ATT,ATT,YPA,YPAA,Rush,TDs,%Ctch,Catch,YPC,YPCA,REC,TDs
Dallas REC WR,,DAL,7,WR,0.03,12.00,6.7,4.3,80.3,0.5,0.64,280.67,13.2,12.6,3716,25.0
Amari Cooper,1,DAL,7,WR,0.00,2.00,5.8,5.7,11.4,0.0,0.33,92.62,13.7,13.4,1239,8.0
CeeDee Lamb,2,DAL,7,WR,0.02,10.00,7.0,6.9,68.9,1.0,0.35,98.23,13.0,12.7,1246,10.0
Michael Gallup,3,DAL,7,WR,0.00,0.00,5.2,5.1,0.0,0.0,0.24,67.36,15.6,15.3,1029,6.0
Simi Fehoko,4,DAL,7,WR,0.00,0.00,6.2,6.1,0.0,0.0,0.05,14.03,14.7,14.4,202,1.0
Cedrick Wilson,5,DAL,7,WR,0.00,0.00,6.2,6.1,0.0,0.0,0.03,8.42,11.5,11.2,94,0.0
,,,,,,,,,,,,,,,,
Players,RK,Team,BYE,POS,% ATT,ATT,YPA,YPAA,Rush,TDs,%Ctch,Catch,YPC,YPCA,REC,TDs
Dallas REC TE,,DAL,7,TE,0.00,0.00,0.0,4.3,0.0,0.0,0.18,78.94,10.3,10.8,817,6.0
Blake Jarwin,1,DAL,7,TE,0.00,0.00,8.0,7.9,0.0,0.0,0.63,49.73,11.7,11.1,551,4.0
Dalton Schultz,2,DAL,7,TE,0.00,0.00,8.0,7.9,0.0,0.0,0.37,29.21,9.7,9.1,265,2.0
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
